tcgdex_id,name,number,avg1_eur,avg1_usd,updated,run_timestamp,eurusd_rate
ex7-2,Dark Ampharos,2/109,22.9,26.76,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
base2-2,Electrode,2/64,14.09,16.46,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
ex5.5-2,Wurmple,2/5,550,642.62,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
ex11-2,Crobat δ,2/113,51.81,60.53,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
base1-2,Blastoise,2/102,92.47,108.04,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
base4-2,Blastoise,2/130,125,146.05,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
base3-2,Articuno,2/62,25.49,29.78,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
ex8-2,Beautifly,2/107,14,16.36,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
lc-3,Charizard,3/110,49.9,58.30,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
ru1-3,Ninetales,3/16,25,29.21,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
neo1-3,Bellossom,3/111,16,18.69,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
neo4-3,Dark Donphan,3/105,20,23.37,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
si1-3,Onix,3/18,29.5,34.47,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
neo3-3,Celebi,3/64,29.9,34.94,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
dp5-3,Darkrai,3/100,30,35.05,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
dp3-3,Charizard,3/132,14,16.36,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
col1-3,Dialga,3/95,59,68.94,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
pop8-3,Luxray,3/17,19.99,23.36,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
pop3-3,Jolteon,3/17,26.63,31.11,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
pop2-3,Raikou,3/17,30,35.05,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
pop1-3,Rayquaza,3/17,44,51.41,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
pop5-3,Mew δ,3/17,249.99,292.09,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
gym2-3,Brock's Ninetales,3/132,70.5,82.37,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
gym1-3,Erika's Clefable,3/132,29,33.88,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
sm7.5-3,Charizard,3/70,19.9,23.25,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
ecard1-3,Arbok,3/165,25.55,29.85,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
bog-3,Professor Elm,3/9,27.95,32.66,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
ecard2-3,Ariados,3/147,15,17.53,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
ecard3-3,Arcanine,3/144,134.95,157.68,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
ex2-3,Cradily,3/100,15.75,18.40,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
ex7-3,Dark Crobat,3/109,21,24.54,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
base2-3,Flareon,3/64,13.68,15.98,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
ex5.5-3,Torchic,3/5,450,525.78,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
base5-3,Dark Blastoise,3/82,320,373.89,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
ex11-3,Dragonite δ,3/113,139.99,163.56,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
base1-3,Chansey,3/102,28,32.72,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
ex10-3,Bellossom,3/115,30,35.05,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
ex15-3,Heracross δ,3/101,19,22.20,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
base3-3,Ditto,3/62,39.99,46.72,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
lc-4,Dark Blastoise,4/110,35,40.89,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
cel25-4A,Charizard,4A/25,150,175.26,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
neo1-4,Feraligatr,4/111,2500,2921.00,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
neo4-4,Dark Espeon,4/105,280,327.15,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
neo2-4,Houndoom,4/75,39.25,45.86,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
si1-4,Togepi,4/18,24.5,28.63,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
col1-4,Espeon,4/95,32,37.39,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
pop4-4,Mew,4/17,13.48,15.75,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
pop3-4,Minun,4/17,34.99,40.88,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
pop2-4,Suicune,4/17,15,17.53,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
pop5-4,Double Rainbow Energy,4/17,15,17.53,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
gym2-4,Erika's Venusaur,4/132,149.99,175.25,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
gym1-4,Erika's Dragonair,4/132,78.98,92.28,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
ecard1-4,Blastoise,4/165,104.69,122.32,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
ecard2-4,Azumarill,4/147,70,81.79,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
ecard3-4,Articuno,4/144,154,179.93,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
ex14-4,Charizard δ,4/100,299.99,350.51,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
ex3-4,Flygon,4/97,27.4,32.01,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
ex7-4,Dark Electrode,4/109,24.95,29.15,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
base2-4,Jolteon,4/64,17.98,21.01,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
ex5.5-4,Mudkip,4/5,500,584.20,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
base5-4,Dark Charizard,4/82,565,660.15,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
ex11-4,Espeon δ,4/113,65,75.95,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
ex4-4,Team Aqua's Manectric,4/95,50,58.42,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
base1-4,Charizard,4/102,1150,1343.66,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
base4-4,Charizard,4/130,406.59,475.06,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
base3-4,Dragonite,4/62,169.67,198.24,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
ex6-4,Ditto,4/112,19.5,22.78,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
lc-5,Dark Dragonite,5/110,28,32.72,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
ru1-5,Starmie,5/16,23.5,27.46,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
neo1-5,Feraligatr,5/111,2500,2921.00,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
neo4-5,Dark Feraligatr,5/105,29,33.88,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
neo2-5,Houndour,5/75,31.95,37.33,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
si1-5,Ivysaur,5/18,20,23.37,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
neo3-5,Delibird,5/64,65,75.95,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
pop4-5,Sceptile,5/17,125,146.05,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
pop5-5,Charmeleon δ,5/17,35,40.89,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
gym2-5,Giovanni's Gyarados,5/132,170,198.63,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
ecard1-5,Butterfree,5/165,26.5,30.96,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
ecard2-5,Bellossom,5/147,24.95,29.15,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
ecard3-5,Beedrill,5/144,395,461.52,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
ex2-5,Flareon,5/100,39.99,46.72,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
ex3-5,Golem,5/97,12.99,15.18,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
ex7-5,Dark Houndoom,5/109,29.99,35.04,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
ex5.5-5,Pikachu,5/5,400,467.36,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
base5-5,Dark Dragonite,5/82,300,350.52,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
ex11-5,Flareon δ,5/113,24.99,29.20,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
base1-5,Clefairy,5/102,14.95,17.47,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
ex9-5,Groudon,5/106,25,29.21,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
ex10-5,Flareon,5/115,30,35.05,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
base4-5,Clefable,5/130,15.5,18.11,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
base3-5,Gengar,5/62,25,29.21,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
ex6-5,Exeggutor,5/112,16.67,19.48,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
lc-6,Dark Persian,6/110,16,18.69,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
dc1-6,Team Aqua's Kyogre EX,6/34,225,262.89,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
ru1-6,Gyarados,6/16,164.79,192.54,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
neo1-6,Heracross,6/111,80,93.47,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
neo4-6,Dark Gengar,6/105,125,146.05,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
neo2-6,Kabutops,6/75,425,496.57,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
si1-6,Raticate,6/18,14,16.36,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
neo3-6,Entei,6/64,122.5,143.13,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
col1-6,Groudon,6/95,129,150.72,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
pop2-6,Venusaur,6/17,52.99,61.91,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
pop6-6,Drifloon,6/17,40,46.74,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
gym2-6,Giovanni's Machamp,6/132,70,81.79,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
gym1-6,Lt. Surge's Electabuzz,6/132,34.99,40.88,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
ecard1-6,Charizard,6/165,350,408.94,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
bog-6,Dark Ivysaur,6/9,14.99,17.51,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
ecard2-6,Blissey,6/147,16.99,19.85,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
ecard3-6,Crobat,6/144,68.5,80.04,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
ex2-6,Jolteon,6/100,31,36.22,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
base5-6,Dark Dugtrio,6/82,18,21.03,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
ex11-6,Gardevoir δ,6/113,14.99,17.51,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
base1-6,Gyarados,6/102,22.19,25.93,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
base3-6,Haunter,6/62,29.7,34.70,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
lc-7,Dark Raichu,7/110,26.9,31.43,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
xy7-7,Sceptile EX,7/98,14.99,17.51,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
ru1-7,Pikachu,7/16,170,198.63,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
neo4-7,Dark Houndoom,7/105,15,17.53,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
si1-7,Ledyba,7/18,20.5,23.95,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
dp6-7,Kingdra,7/146,19.98,23.34,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
pop2-7,Ivysaur,7/17,12.99,15.18,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
gym2-7,Giovanni's Nidoking,7/132,67,78.28,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
gym1-7,Lt. Surge's Fearow,7/132,49.47,57.80,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
ecard1-7,Clefable,7/165,45,52.58,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
bog-7,Dark Venusaur,7/9,39.99,46.72,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
ecard3-7,Dewgong,7/144,78.89,92.18,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
ex2-7,Ludicolo,7/100,36.95,43.17,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
ex3-7,Minun,7/97,25.89,30.25,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
ex13-7,Flygon δ,7/110,14.99,17.51,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
base5-7,Dark Golbat,7/82,34.98,40.87,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
ex11-7,Jolteon δ,7/113,20,23.37,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
ex10-7,Houndoom,7/115,19,22.20,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
ru1-8,Zapdos,8/16,33,38.56,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
neo4-8,Dark Porygon2,8/105,24.98,29.19,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
neo2-8,Politoed,8/75,27,31.55,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
si1-8,Jigglypuff,8/18,30.75,35.93,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
neo3-8,Houndoom,8/64,74.98,87.61,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
dp7-8,Raichu,8/100,14,16.36,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
gym2-8,Giovanni's Persian,8/132,15.99,18.68,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
gym1-8,Lt. Surge's Magneton,8/132,15,17.53,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
ecard1-8,Cloyster,8/165,15,17.53,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
ecard3-8,Flareon,8/144,133.29,155.74,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
ex2-8,Lunatone,8/100,35,40.89,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
ex3-8,Plusle,8/97,17.99,21.02,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
ex16-8,Delcatty,8/108,23.9,27.92,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
ex13-8,Gyarados δ,8/110,22.21,25.95,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
base5-8,Dark Gyarados,8/82,34,39.73,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
ex12-8,Lapras,8/92,24.5,28.63,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
ex11-8,Latias δ,8/113,13.5,15.77,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
ex4-8,Team Magma's Claydol,8/95,39.99,46.72,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
ex10-8,Jolteon,8/115,15,17.53,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
base4-8,Hitmonchan,8/130,79.99,93.46,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
ex15-8,Ninetales δ,8/101,19.75,23.08,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
base3-8,Hypno,8/62,46,53.75,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
ex8-8,Gyarados,8/107,22.5,26.29,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
lc-9,Dark Vaporeon,9/110,30,35.05,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
ru1-9,Mewtwo,9/16,65,75.95,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
neo1-9,Lugia,9/111,110,128.52,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
neo4-9,Dark Scizor,9/105,25.86,30.21,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
si1-9,Butterfree,9/18,19,22.20,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
